0,Tue Feb  5 14:56:46 20191,DIST,4,AN0,C295,0,0,2,15.74,AN1,4897,15,-1,2,3.94,AN2,07A7,31,15,2,19.96,AN3,D814,0,30,2,30.95,POS,15.05,2.97,1.39,63,DIST,3,AN0,4897,15,-1,2,4.01,AN1,07A7,31,15,2,19.56,AN2,D814,0,30,2,31.12,POS,15.67,2.84,1.11,50,,,,,,
1,Tue Feb  5 14:56:46 20192,DIST,4,AN0,C295,0,0,2,15.8,AN1,4897,15,-1,2,3.9,AN2,07A7,31,15,2,19.98,AN3,D814,0,30,2,30.98,POS,15.06,2.96,1.41,56,DIST,2,AN0,4897,15,-1,2,4.04,AN1,D814,0,30,2,31.13,,,,,,,,,,,,,,,,,
2,Tue Feb  5 14:56:46 20193,DIST,4,AN0,C295,0,0,2,15.75,AN1,4897,15,-1,2,3.91,AN2,07A7,31,15,2,19.95,AN3,D814,0,30,2,30.93,POS,15.06,2.96,1.38,62,DIST,3,AN0,4897,15,-1,2,3.99,AN1,07A7,31,15,2,19.58,AN2,D814,0,30,2,31.12,POS,15.63,2.88,1.18,50,,,,,,
3,Tue Feb  5 14:56:46 20194,DIST,4,AN0,C295,0,0,2,15.74,AN1,4897,15,-1,2,3.91,AN2,07A7,31,15,2,19.94,AN3,D814,0,30,2,30.92,POS,15.06,2.97,1.34,64,DIST,3,AN0,4897,15,-1,2,4.03,AN1,07A7,31,15,2,19.53,AN2,D814,0,30,2,31.13,POS,15.61,2.92,1.24,50,,,,,,
4,Tue Feb  5 14:56:46 20195,DIST,4,AN0,C295,0,0,2,15.78,AN1,4897,15,-1,2,3.92,AN2,07A7,31,15,2,19.99,AN3,D814,0,30,2,30.92,POS,15.05,2.97,1.35,56,DIST,3,AN0,4897,15,-1,2,4.02,AN1,07A7,31,15,2,19.59,AN2,D814,0,30,2,31.11,POS,15.58,2.94,1.32,50,,,,,,
5,Tue Feb  5 14:56:46 20196,DIST,4,AN0,C295,0,0,2,15.78,AN1,4897,15,-1,2,3.92,AN2,07A7,31,15,2,19.95,AN3,D814,0,30,2,30.92,POS,15.05,2.97,1.34,60,DIST,3,AN0,4897,15,-1,2,4.01,AN1,07A7,31,15,2,19.59,AN2,D814,0,30,2,31.14,POS,15.57,2.96,1.4,50,,,,,,
6,Tue Feb  5 14:56:46 20197,DIST,4,AN0,C295,0,0,2,15.77,AN1,4897,15,-1,2,3.93,AN2,07A7,31,15,2,19.97,AN3,D814,0,30,2,30.97,POS,15.06,2.97,1.42,60,DIST,2,AN0,4897,15,-1,2,4.01,AN1,07A7,31,15,2,19.6,,,,,,,,,,,,,,,,,
7,Tue Feb  5 14:56:46 20198,DIST,4,AN0,C295,0,0,2,15.74,AN1,4897,15,-1,2,3.93,AN2,07A7,31,15,2,19.94,AN3,D814,0,30,2,30.91,POS,15.06,2.97,1.39,63,DIST,4,AN0,4897,15,-1,2,4.02,AN1,15B8,30,0,2,14.89,AN2,07A7,31,15,2,19.61,AN3,D814,0,30,2,31.11,POS,15.54,2.97,1.45,95
8,Tue Feb  5 14:56:46 20199,DIST,4,AN0,C295,0,0,2,15.78,AN1,4897,15,-1,2,3.94,AN2,07A7,31,15,2,19.99,AN3,D814,0,30,2,30.92,POS,15.05,2.97,1.43,55,DIST,4,AN0,4897,15,-1,2,4.01,AN1,15B8,30,0,2,14.88,AN2,07A7,31,15,2,19.57,AN3,D814,0,30,2,31.12,POS,15.53,2.98,1.45,93
9,Tue Feb  5 14:56:46 201910,DIST,4,AN0,C295,0,0,2,15.79,AN1,4897,15,-1,2,3.92,AN2,07A7,31,15,2,19.95,AN3,D814,0,30,2,30.95,POS,15.06,2.97,1.42,59,DIST,3,AN0,4897,15,-1,2,3.99,AN1,15B8,30,0,2,14.85,AN2,D814,0,30,2,31.13,POS,15.51,2.98,1.52,50,,,,,,
10,Tue Feb  5 14:56:47 20191,DIST,4,AN0,C295,0,0,2,15.73,AN1,4897,15,-1,2,3.91,AN2,07A7,31,15,2,19.97,AN3,D814,0,30,2,30.92,POS,15.05,2.97,1.39,62,DIST,4,AN0,4897,15,-1,2,4,AN1,15B8,30,0,2,14.88,AN2,07A7,31,15,2,19.64,AN3,D814,0,30,2,31.14,POS,15.5,2.98,1.58,96
11,Tue Feb  5 14:56:47 20192,DIST,4,AN0,C295,0,0,2,15.74,AN1,4897,15,-1,2,3.93,AN2,07A7,31,15,2,19.97,AN3,D814,0,30,2,30.91,POS,15.05,2.97,1.38,61,DIST,3,AN0,4897,15,-1,2,4.01,AN1,07A7,31,15,2,19.6,AN2,D814,0,30,2,31.13,POS,15.5,2.98,1.59,50,,,,,,
12,Tue Feb  5 14:56:47 20193,DIST,4,AN0,C295,0,0,2,15.71,AN1,4897,15,-1,2,3.92,AN2,07A7,31,15,2,19.97,AN3,D814,0,30,2,30.92,POS,15.05,2.97,1.36,64,DIST,3,AN0,4897,15,-1,2,3.94,AN1,07A7,31,15,2,19.62,AN2,D814,0,30,2,31.12,POS,15.49,2.98,1.5,50,,,,,,
13,Tue Feb  5 14:56:47 20194,DIST,4,AN0,C295,0,0,2,15.73,AN1,4897,15,-1,2,3.95,AN2,07A7,31,15,2,19.98,AN3,D814,0,30,2,30.9,POS,15.04,2.98,1.38,60,DIST,3,AN0,4897,15,-1,2,3.94,AN1,07A7,31,15,2,19.67,AN2,17AF,30,30,2,31.2,POS,15.72,2.74,1.09,50,,,,,,
14,Tue Feb  5 14:56:47 20195,DIST,4,AN0,C295,0,0,2,15.75,AN1,4897,15,-1,2,3.93,AN2,07A7,31,15,2,19.96,AN3,D814,0,30,2,30.98,POS,15.05,2.97,1.45,63,DIST,2,AN0,4897,15,-1,2,3.96,AN1,07A7,31,15,2,19.61,,,,,,,,,,,,,,,,,
15,Tue Feb  5 14:56:47 20196,DIST,4,AN0,C295,0,0,2,15.76,AN1,4897,15,-1,2,3.95,AN2,07A7,31,15,2,19.97,AN3,D814,0,30,2,30.94,POS,15.05,2.97,1.5,60,DIST,2,AN0,4897,15,-1,2,3.99,AN1,D814,0,30,2,31.07,,,,,,,,,,,,,,,,,
16,Tue Feb  5 14:56:47 20197,DIST,4,AN0,C295,0,0,2,15.78,AN1,4897,15,-1,2,3.93,AN2,07A7,31,15,2,19.95,AN3,D814,0,30,2,30.91,POS,15.05,2.97,1.44,59,DIST,4,AN0,4897,15,-1,2,3.99,AN1,07A7,31,15,2,19.57,AN2,17AF,30,30,2,31.07,AN3,D814,0,30,2,31.05,POS,15.65,2.82,1.1,55
17,Tue Feb  5 14:56:47 20198,DIST,4,AN0,C295,0,0,2,15.75,AN1,4897,15,-1,2,3.96,AN2,07A7,31,15,2,19.96,AN3,D814,0,30,2,30.95,POS,15.06,2.97,1.52,62,DIST,1,AN0,4897,15,-1,2,4.01,,,,,,,,,,,,,,,,,,,,,,,
18,Tue Feb  5 14:56:47 20199,DIST,4,AN0,C295,0,0,2,15.76,AN1,4897,15,-1,2,3.93,AN2,07A7,31,15,2,19.97,AN3,D814,0,30,2,30.93,POS,15.05,2.97,1.51,60,DIST,3,AN0,4897,15,-1,2,4.01,AN1,07A7,31,15,2,19.59,AN2,D814,0,30,2,31.1,POS,15.61,2.87,1.17,50,,,,,,
19,Tue Feb  5 14:56:47 201910,DIST,4,AN0,C295,0,0,2,15.78,AN1,4897,15,-1,2,3.94,AN2,07A7,31,15,2,19.96,AN3,D814,0,30,2,30.9,POS,15.05,2.98,1.47,58,DIST,2,AN0,4897,15,-1,2,3.97,AN1,D814,0,30,2,31.18,,,,,,,,,,,,,,,,,
20,Tue Feb  5 14:56:48 20191,DIST,4,AN0,C295,0,0,2,15.79,AN1,4897,15,-1,2,3.94,AN2,07A7,31,15,2,20.02,AN3,D814,0,30,2,30.95,POS,15.04,2.97,1.55,52,DIST,3,AN0,4897,15,-1,2,4.01,AN1,07A7,31,15,2,19.61,AN2,D814,0,30,2,31.09,POS,15.57,2.91,1.23,50,,,,,,
