0,Tue Feb  5 15:34:18 20191,DIST,3,AN0,4897,15,-1,2,25.97,AN1,5C15,-1,15,2,24.21,AN2,07A7,31,15,2,12.97,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.35,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
1,Tue Feb  5 15:34:18 20192,DIST,4,AN0,C295,0,0,2,32.63,AN1,4897,15,-1,2,25.92,AN2,5C15,-1,15,2,24.18,AN3,07A7,31,15,2,13.01,POS,21.78,24.11,0.37,84,DIST,2,AN0,5C15,-1,15,2,24.4,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
2,Tue Feb  5 15:34:18 20193,DIST,2,AN0,5C15,-1,15,2,24.19,AN1,07A7,31,15,2,12.97,,,,,,,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.39,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
3,Tue Feb  5 15:34:18 20194,DIST,2,AN0,5C15,-1,15,2,24.19,AN1,07A7,31,15,2,12.96,,,,,,,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.36,AN1,17AF,30,30,2,10.31,,,,,,,,,,,,,,,,,
4,Tue Feb  5 15:34:18 20195,DIST,3,AN0,4897,15,-1,2,25.97,AN1,5C15,-1,15,2,24.23,AN2,07A7,31,15,2,12.98,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.36,AN1,17AF,30,30,2,10.31,,,,,,,,,,,,,,,,,
5,Tue Feb  5 15:34:18 20196,DIST,3,AN0,4897,15,-1,2,25.98,AN1,5C15,-1,15,2,24.18,AN2,07A7,31,15,2,12.98,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.38,AN1,17AF,30,30,2,10.28,,,,,,,,,,,,,,,,,
6,Tue Feb  5 15:34:18 20197,DIST,3,AN0,C295,0,0,2,32.64,AN1,5C15,-1,15,2,24.24,AN2,07A7,31,15,2,12.96,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.35,AN1,17AF,30,30,2,10.32,,,,,,,,,,,,,,,,,
7,Tue Feb  5 15:34:18 20198,DIST,3,AN0,4897,15,-1,2,25.95,AN1,5C15,-1,15,2,24.21,AN2,07A7,31,15,2,13,POS,21.71,24.14,0.15,50,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.39,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
8,Tue Feb  5 15:34:18 20199,DIST,4,AN0,C295,0,0,2,32.67,AN1,4897,15,-1,2,25.96,AN2,5C15,-1,15,2,24.24,AN3,07A7,31,15,2,12.99,POS,21.67,24.16,0,86,DIST,2,AN0,5C15,-1,15,2,24.4,AN1,17AF,30,30,2,10.32,,,,,,,,,,,,,,,,,
9,Tue Feb  5 15:34:18 201910,DIST,3,AN0,4897,15,-1,2,25.94,AN1,5C15,-1,15,2,24.22,AN2,07A7,31,15,2,12.98,POS,21.64,24.18,-0.13,50,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.34,AN1,17AF,30,30,2,10.35,,,,,,,,,,,,,,,,,
10,Tue Feb  5 15:34:19 20191,DIST,4,AN0,C295,0,0,2,32.65,AN1,4897,15,-1,2,25.97,AN2,5C15,-1,15,2,24.19,AN3,07A7,31,15,2,12.96,,,,,,DIST,2,AN0,5C15,-1,15,2,24.34,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
11,Tue Feb  5 15:34:19 20192,DIST,3,AN0,4897,15,-1,2,25.99,AN1,5C15,-1,15,2,24.17,AN2,07A7,31,15,2,12.94,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.34,AN1,17AF,30,30,2,10.32,,,,,,,,,,,,,,,,,
12,Tue Feb  5 15:34:19 20193,DIST,3,AN0,C295,0,0,2,32.64,AN1,5C15,-1,15,2,24.18,AN2,07A7,31,15,2,13,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.35,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
13,Tue Feb  5 15:34:19 20194,DIST,4,AN0,C295,0,0,2,32.68,AN1,4897,15,-1,2,25.99,AN2,5C15,-1,15,2,24.19,AN3,07A7,31,15,2,12.97,,,,,,DIST,2,AN0,5C15,-1,15,2,24.38,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
14,Tue Feb  5 15:34:19 20195,DIST,3,AN0,4897,15,-1,2,25.98,AN1,5C15,-1,15,2,24.2,AN2,07A7,31,15,2,12.96,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.37,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
15,Tue Feb  5 15:34:19 20196,DIST,3,AN0,4897,15,-1,2,25.96,AN1,5C15,-1,15,2,24.17,AN2,07A7,31,15,2,12.99,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.33,AN1,17AF,30,30,2,10.35,,,,,,,,,,,,,,,,,
16,Tue Feb  5 15:34:19 20197,DIST,2,AN0,5C15,-1,15,2,24.26,AN1,07A7,31,15,2,12.96,,,,,,,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.35,AN1,17AF,30,30,2,10.32,,,,,,,,,,,,,,,,,
17,Tue Feb  5 15:34:19 20198,DIST,2,AN0,5C15,-1,15,2,24.19,AN1,07A7,31,15,2,13,,,,,,,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.36,AN1,17AF,30,30,2,10.35,,,,,,,,,,,,,,,,,
18,Tue Feb  5 15:34:19 20199,DIST,3,AN0,4897,15,-1,2,26,AN1,5C15,-1,15,2,24.22,AN2,07A7,31,15,2,12.99,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.39,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
19,Tue Feb  5 15:34:19 201910,DIST,3,AN0,4897,15,-1,2,25.94,AN1,5C15,-1,15,2,24.19,AN2,07A7,31,15,2,12.99,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.33,AN1,17AF,30,30,2,10.29,,,,,,,,,,,,,,,,,
20,Tue Feb  5 15:34:20 20191,DIST,2,AN0,5C15,-1,15,2,24.22,AN1,07A7,31,15,2,13,,,,,,,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.36,AN1,17AF,30,30,2,10.3,,,,,,,,,,,,,,,,,
21,Tue Feb  5 15:34:20 20192,DIST,2,AN0,5C15,-1,15,2,24.24,AN1,07A7,31,15,2,13.01,,,,,,,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.36,AN1,17AF,30,30,2,10.31,,,,,,,,,,,,,,,,,
22,Tue Feb  5 15:34:20 20193,DIST,3,AN0,4897,15,-1,2,25.97,AN1,5C15,-1,15,2,24.19,AN2,07A7,31,15,2,12.99,,,,,,,,,,,,DIST,2,AN0,5C15,-1,15,2,24.35,AN1,17AF,30,30,2,10.33,,,,,,,,,,,,,,,,,
