RR,1
696C,106122,1630874,-80,2181,0
6E02,106127,1630880,-80,698,0
6E49,106133,1630885,-80,1671,0
695F,106139,1630891,-82,3338,0
696C,106144,1630897,-80,2200,0
6E02,106150,0,0,ERR,1
6E49,106155,1630907,-80,1681,0
695F,106161,1630913,-81,3292,0
696C,106167,1630919,-80,2162,0
6E02,106172,1630925,-80,698,0
6E49,106178,1630930,-80,1643,0
695F,106184,1630936,-81,3333,0
696C,106190,1630942,-80,2153,0
6E02,106195,0,0,ERR,1
6E49,106200,1630952,-80,1652,0
695F,106206,1630958,-81,3296,0
696C,106212,1630964,-80,2134,0
6E02,106219,0,0,ERR,1
6E49,106224,0,0,ERR,1
695F,106229,1630981,-81,3305,0
696C,106235,1630987,-80,2162,0
6E02,106240,1630993,-80,707,0
6E49,106246,1630998,-80,1624,0
695F,106252,1631004,-81,3306,0
696C,106258,1631010,-80,2153,0
6E02,106263,0,0,ERR,1
6E49,106268,1631020,-80,1643,0
695F,106274,1631026,-81,3314,0
696C,106280,1631032,-80,2172,0
6E02,106285,1631038,-80,679,0
6E49,106291,1631043,-80,1605,0
695F,106297,1631049,-81,3324,0
696C,106303,1631055,-80,2172,0
6E02,106308,1631061,-80,679,0
6E49,106314,1631066,-80,1634,0
695F,106320,1631072,-82,3296,0
696C,106327,0,0,ERR,1
6E02,106332,0,0,ERR,1
6E49,106337,1631089,-80,1624,0
695F,106343,1631095,-82,3314,0
696C,106348,1631101,-80,2191,0
6E02,106354,0,0,ERR,1
6E49,106359,1631111,-80,1690,0
695F,106365,1631117,-81,3314,0
696C,106371,1631123,-80,2162,0
6E02,106376,0,0,ERR,1
6E49,106381,1631134,-80,1652,0
695F,106387,1631139,-81,3324,0
696C,106393,1631145,-80,2191,0
6E02,106400,0,0,ERR,1
6E49,106405,1631157,-80,1671,0
695F,106411,1631163,-82,3306,0
696C,106417,1631169,-80,2181,0
6E02,106422,0,0,ERR,1
6E49,106427,1631179,-80,1624,0
695F,106433,1631185,-82,3296,0
696C,106439,1631191,-80,2162,0
6E02,106446,0,0,ERR,1
6E49,106451,1631203,-80,1634,0
695F,106457,1631209,-82,3306,0
696C,106462,1631215,-80,2144,0
6E02,106468,1631220,-80,707,0
6E49,106474,1631226,-80,1643,0
695F,106480,1631232,-81,3296,0
696C,106485,1631237,-80,2115,0
6E02,106491,1631243,-80,689,0
6E49,106497,1631249,-80,1662,0
695F,106502,1631255,-81,3306,0
696C,106508,1631260,-80,2172,0
6E02,106514,1631266,-80,707,0
6E49,106520,1631272,-80,1596,0
695F,106525,1631277,-82,3296,0
696C,106531,1631283,-80,2172,0
6E02,106537,1631289,-80,707,0
6E49,106542,1631295,-80,1596,0
695F,106548,1631300,-81,3314,0
696C,106554,1631306,-80,2153,0
6E02,106560,1631312,-81,689,0
6E49,106565,1631317,-80,1662,0
695F,106571,1631323,-82,3324,0
696C,106577,1631329,-80,2115,0
6E02,106583,1631335,-80,689,0
6E49,106588,1631340,-80,1671,0
695F,106594,1631346,-81,3296,0
696C,106600,1631352,-80,2162,0
6E02,106605,1631358,-80,689,0
6E49,106611,1631363,-80,1643,0
695F,106617,1631369,-81,3305,0
696C,106624,0,0,ERR,1
6E02,106629,1631381,-80,660,0
6E49,106635,1631387,-80,1624,0
695F,106640,1631393,-81,3306,0
696C,106646,1631398,-80,2144,0
6E02,106652,0,0,ERR,1
6E49,106657,1631409,-80,1652,0
695F,106663,1631415,-81,3314,0
696C,106668,1631421,-80,2153,0
6E02,106674,0,0,ERR,1
6E49,106679,1631431,-80,1634,0
695F,106685,1631437,-81,3273,0
696C,106691,1631443,-80,2134,0
6E02,106696,0,0,ERR,1
6E49,106701,1631453,-80,1615,0
695F,106707,1631459,-81,3300,0
696C,106713,1631465,-80,2134,0
6E02,106720,0,0,ERR,1
