Æ÷{+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&eì¨+)%&†C‘î%í¯Q«$'C½•©eí¨+-%&C¨•«åíª+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&list size: 4
Calibration result:
Anchors found: 4
ANCHOR,0x6E49,1604,963,1900
ANCHOR,0x695F,539,4778,650
ANCHOR,0x696C,2054,-1132,1900
ANCHOR,0x6E02,3182,1316,1400
Starting positioning: 
4994,2294,1457,1018,0
5007,2304,1455,1040,0
5018,2327,1468,1059,0
5031,2307,1457,1009,0
5044,2323,1464,1069,0
5056,2314,1462,1051,0
5069,2251,1467,1012,0
5082,2303,1430,1037,0
5095,2360,1447,1084,0
5108,2325,1459,1065,0
5121,2304,1456,1050,0
5132,2353,1465,1070,0
5144,2290,1463,1036,0
5157,2349,1459,1049,0
5168,2340,1449,1020,0
5180,2300,1435,1038,0
5193,2303,1481,1082,0
5206,2316,1464,1068,0
5219,2321,1467,1051,0
5232,2348,1443,1063,0
5243,2347,1454,1077,0
5255,2324,1470,1077,0
5268,2298,1452,1029,0
5279,2296,1476,1033,0
5292,2347,1467,1026,0
5304,2340,1448,1071,0
5315,2339,1443,1029,0
5328,2319,1444,1036,0
5341,2299,1426,1030,0
5354,2335,1470,1107,0
5367,2321,1449,1004,0
5380,2327,1457,1055,0
5393,2268,1429,1023,0
5408,2295,1440,1019,0
5419,2362,1449,1042,0
5431,2336,1408,1033,0
5444,2320,1477,1099,0
5457,2329,1469,1077,0
5470,2331,1423,1060,0
5483,2309,1464,1062,0
5494,2328,1455,1071,0
5507,2298,1457,1038,0
5520,1296,1161,729,0
5533,2322,1446,1044,0
5546,2339,1440,1055,0
5559,2322,1442,1066,0
5572,2162,1407,1369,0
5584,2326,1458,1061,0
5598,2278,1467,1012,0
5611,2341,1437,1089,0
5624,2286,1442,1004,0
5639,2305,1462,1033,0
5652,2383,1421,1030,0
5665,2306,1453,1034,0
5678,2291,1429,1030,0
5692,2355,1448,1090,0
5704,2331,1454,1055,0
5718,2333,1459,1064,0
5731,2347,1441,1040,0
5744,2319,1481,1055,0
5759,2310,1434,1061,0
5771,2308,1403,1034,0
5783,2335,1473,1051,0
5796,2301,1453,1055,0
5809,2352,1448,1105,0
5822,2274,1473,1027,0
5835,2292,1418,1009,0
5848,2337,1466,1057,0
5859,2317,1463,1071,0
5872,2343,1463,1079,0
5887,2342,1452,1032,0
5900,2333,1471,1082,0
5913,2346,1443,1069,0
5926,2356,1464,1045,0
5939,2340,1462,1059,0
5952,2346,1482,1079,0
5965,2282,1449,1015,0
5978,2336,1452,1077,0
5991,2301,1454,1046,0
6004,2320,1454,1054,0
6017,2274,1448,1034,0
6030,2298,1447,1010,0
6043,2335,1457,1070,0
6056,2358,1448,1078,0
6069,2359,1455,1062,0
6082,2336,1462,1059,0
6096,2342,1441,1044,0
6109,2123,1427,1360,0
6122,2281,1440,1026,0
6135,2331,1461,1070,0
6150,1287,1167,731,0
6161,2324,1454,1067,0
6173,2339,1457,1073,0
6187,2312,1447,1058,0
6200,2294,1452,1025,0
